2026-03-22T10:33:17.899526+00:00,20.3,65.6,1190.5
2026-03-22T10:33:18.899970+00:00,25.4,52.8,367.8
2026-03-22T10:33:19.901023+00:00,24.9,38.9,912.5
2026-03-22T10:33:20.902475+00:00,23.1,67.2,902.5
2026-03-22T10:33:21.902712+00:00,33.7,41.9,381.0
2026-03-22T10:33:22.904237+00:00,25.0,65.8,534.3
2026-03-22T10:33:23.904841+00:00,34.8,61.9,813.9
2026-03-22T10:33:24.905274+00:00,22.8,35.2,835.2
2026-03-22T10:33:25.906452+00:00,32.4,41.7,405.0
2026-03-22T10:33:26.906957+00:00,29.4,30.6,583.3
2026-03-22T10:33:27.908106+00:00,32.1,67.3,614.2
2026-03-22T10:33:28.908746+00:00,20.8,32.9,725.9
2026-03-22T10:33:29.909257+00:00,25.6,34.8,675.0
2026-03-22T10:33:30.928963+00:00,24.9,43.8,514.5
2026-03-22T10:33:31.930524+00:00,22.1,40.4,786.8
2026-03-22T10:33:32.931582+00:00,28.4,32.5,815.2
2026-03-22T10:33:33.932235+00:00,34.7,64.4,516.4
2026-03-22T10:33:34.933500+00:00,34.0,63.9,899.2
2026-03-22T10:33:35.933863+00:00,20.2,40.8,903.9
2026-03-22T10:33:36.934276+00:00,21.6,44.8,640.8
2026-03-22T10:33:37.935210+00:00,33.9,46.1,641.8
2026-03-22T10:33:38.936085+00:00,26.3,58.7,1141.6
2026-03-22T10:33:39.936370+00:00,25.6,35.3,1036.4
2026-03-22T10:33:40.936925+00:00,25.6,51.3,794.3
2026-03-22T10:33:41.937806+00:00,27.9,39.0,460.5
2026-03-22T10:33:42.938070+00:00,27.4,33.3,312.4
2026-03-22T10:33:43.939414+00:00,24.1,52.9,632.9
2026-03-22T10:33:44.939913+00:00,27.6,47.2,729.9
2026-03-22T10:33:45.940385+00:00,30.7,38.2,868.3
2026-03-22T10:33:46.941689+00:00,22.6,45.7,415.6
2026-03-22T10:33:47.942278+00:00,20.5,49.6,979.3
2026-03-22T10:33:48.942501+00:00,29.8,56.6,946.9
